Company;Symbol;NAICS_Level_2_Code;NAICS_Level_2_Subsector_Title
Apple Inc.;AAPL;334;Computer and Electronic Product Manufacturing
Microsoft Corp;MSFT;511;Publishing Industries (except Internet)
Nvidia Corp;NVDA;334;Computer and Electronic Product Manufacturing
Amazon.com Inc;AMZN;454;Nonstore Retailers
Meta Platforms, Inc. Class A;META;518;Data Processing, Hosting, and Related Services
Alphabet Inc. Class A;GOOGL;518;Data Processing, Hosting, and Related Services
Alphabet Inc. Class C;GOOG;518;Data Processing, Hosting, and Related Services
Berkshire Hathaway Class B;BRK.B;551;Management of Companies and Enterprises
Eli Lilly & Co.;LLY;325;Chemical Manufacturing
Broadcom Inc.;AVGO;334;Computer and Electronic Product Manufacturing
Tesla, Inc.;TSLA;336;Transportation Equipment Manufacturing
Jpmorgan Chase & Co.;JPM;522;Credit Intermediation and Related Activities
Unitedhealth Group Incorporated;UNH;524;Insurance Carriers and Related Activities
Exxon Mobil Corporation;XOM;211;Oil and Gas Extraction
Visa Inc.;V;522;Credit Intermediation and Related Activities
Procter & Gamble Company;PG;325;Chemical Manufacturing
Johnson & Johnson;JNJ;325;Chemical Manufacturing
Mastercard Incorporated;MA;522;Credit Intermediation and Related Activities
Costco Wholesale Corp;COST;452;General Merchandise Stores
Home Depot, Inc.;HD;444;Building Material and Garden Equipment and Supplies Dealers
Abbvie Inc.;ABBV;325;Chemical Manufacturing
Walmart Inc.;WMT;452;General Merchandise Stores
Merck & Co., Inc.;MRK;325;Chemical Manufacturing
Netflix Inc;NFLX;515;Broadcasting (except Internet)
Bank of America Corporation;BAC;522;Credit Intermediation and Related Activities
Coca-Cola Company;KO;312;Beverage and Tobacco Product Manufacturing
Chevron Corporation;CVX;211;Oil and Gas Extraction
Salesforce, Inc.;CRM;511;Publishing Industries (except Internet)
Adobe Inc.;ADBE;511;Publishing Industries (except Internet)
Pepsico, Inc.;PEP;312;Beverage and Tobacco Product Manufacturing
Thermo Fisher Scientific, Inc.;TMO;334;Computer and Electronic Product Manufacturing
Oracle Corp;ORCL;511;Publishing Industries (except Internet)
Linde Plc;LIN;325;Chemical Manufacturing
Advanced Micro Devices;AMD;334;Computer and Electronic Product Manufacturing
Accenture Plc;ACN;541;Professional, Scientific, and Technical Services
Wells Fargo & Co.;WFC;522;Credit Intermediation and Related Activities
Mcdonald's Corporation;MCD;722;Food Services and Drinking Places
Cisco Systems, Inc.;CSCO;334;Computer and Electronic Product Manufacturing
Abbott Laboratories;ABT;339;Miscellaneous Manufacturing
Ge Aerospace;GE;336;Transportation Equipment Manufacturing
Danaher Corporation;DHR;334;Computer and Electronic Product Manufacturing
Qualcomm Inc;QCOM;334;Computer and Electronic Product Manufacturing
Philip Morris International Inc.;PM;312;Beverage and Tobacco Product Manufacturing
Amgen Inc;AMGN;325;Chemical Manufacturing
Intuit Inc;INTU;511;Publishing Industries (except Internet)
Texas Instruments Incorporated;TXN;334;Computer and Electronic Product Manufacturing
International Business Machines Corporation;IBM;541;Professional, Scientific, and Technical Services
Pfizer Inc.;PFE;325;Chemical Manufacturing
Verizon Communications;VZ;517;Telecommunications
The Walt Disney Company;DIS;512;Motion Picture and Sound Recording Industries
Servicenow, Inc.;NOW;511;Publishing Industries (except Internet)
Applied Materials Inc;AMAT;333;Machinery Manufacturing
Caterpillar Inc.;CAT;333;Machinery Manufacturing
